Name,Position,College,Conference,Height,Weight,Age,40-Yard,Vertical,Bench,Broad Jump,3-Cone,20 Y Shuttle,Throwing Velocity (mph),Std. Throwing Score
Jaire Alexander,CB,Louisville,ACC,5-11,192,21,4.38,35,14,127,6.71,3.98,N/A,N/A
Leighton Vander Esch,OLB,Boise State,Mountain West,6-4,256,21,4.65,39.5,20,124,6.88,4.15,N/A,N/A
Frank Ragnow,C,Arkansas,SEC,6-5,312,22,5.22,29.5,26,100,7.75,4.85,N/A,N/A
Billy Price,C,Ohio State,Big 10,6-4,305,23,5.38,25,28,94,7.95,4.95,N/A,N/A
Rashaan Evans,ILB,Alabama,SEC,6-3,232,22,4.55,30,21,116,6.95,4.36,N/A,N/A
Isaiah Wynn,T,Georgia,SEC,6-3,313,22,5.05,27,26,101,7.7,4.82,N/A,N/A
D.J. Moore,WR,Maryland,Big 10,6-0,210,21,4.42,39.5,15,132,6.95,4.07,N/A,N/A
Hayden Hurst,TE,South Carolina,SEC,6-4,250,25,4.67,31.5,17,120,7.19,4.37,N/A,N/A
Calvin Ridley,WR,Alabama,SEC,6-0,189,23,4.43,31,15,110,6.88,4.41,N/A,N/A
Rashaad Penny,RB,San Diego State,Mountain West,5-11,220,22,4.46,32.5,13,120,6.89,4.25,N/A,N/A
Terrell Edmunds,S,Virginia Tech,ACC,6-2,220,21,4.47,41.5,17,134,6.97,4.28,N/A,N/A
Taven Bryan,DT,Florida,ACC,6-4,291,22,4.98,35,30,119,7.12,4.48,N/A,N/A
Mike Hughes,CB,UCF,AAC,5-11,191,21,4.53,35.5,20,127,6.7,4.13,N/A,N/A
Sony Michel,RB,Georgia,SEC,5-11,214,23,4.54,33.5,22,121,6.92,4.21,N/A,N/A
Lamar Jackson,QB,Louisville,ACC,6-2,216,21,4.34,36.5,N/A,122,7.28,4.42,49,0.6
Austin Corbett,C,Nevada,Mountain West,6-4,306,23,5.15,28,19,106,7.87,4.5,N/A,N/A
Will Hernandez,G,UTEP,C-USA,6-2,327,23,5.15,24,37,104,7.59,4.7,N/A,N/A
Nick Chubb,RB,Georgia,SEC,5-11,227,22,4.52,38.5,29,128,7.09,4.25,N/A,N/A
Shaquille Leonard,LB,South Carolina State,MIAA,6-2,234,23,4.7,34.5,17,122,6.97,4.29,N/A,N/A
Braden Smith,G,Auburn,SEC,6-6,315,22,5.22,33.5,35,113,7.72,4.77,N/A,N/A
Ronald Jones II,RB,USC,PAC 12,5-11,205,21,4.65,36.5,10,118,6.9,4.38,N/A,N/A
James Daniels,C,Iowa,Big 10,6-3,306,20,5.12,30.5,21,108,7.29,4.4,N/A,N/A
Courtland Sutton,WR,SMU,AAC,6-3,218,22,4.54,35.5,18,124,6.57,4.11,N/A,N/A
Harold Landry,OLB,Boston College,ACC,6-3,252,22,4.64,36,24,119,6.88,4.19,N/A,N/A
Mike Gesicki,TE,Penn State,Big 10,6-5,247,22,4.54,41.5,22,129,6.76,4.1,N/A,N/A
Kerryon Johnson,RB,Auburn,SEC,5-11,213,21,4.52,40,11,126,7.07,4.29,N/A,N/A
